rating,title,text,verified_purchase,quality_complaint
5,my daughter calls the eargasms,these headphones sound great i've heard things i've never heard before in songs i've listened to for years especially considering the price these are a great buy,TRUE,0
1,dead on arrival,i ordered this computer in a hurry because my other computer's power source blew how iroinic that i received a computer with probably a power source problem doa i checked it multiple power outlets made sure the plug was firmly set clicked on the power button in the back off and on multiple times made sure the voltage was set on 115 nothing very disappointed,TRUE,1
5,good coverage,great product wifi range is great,TRUE,0
5,great sound take it everywhere,great sound take it everywhere,TRUE,0
3,stopped working after 4 months,for 4 months it worked fine now it no longer works there is an indicator light on my headset that tells me if it is connected it does not illuminate and people cannot hear me when i bypass this extension cord and plug directly into the same usb port on my computer i no longer have the problem were it not outside the return window i would return it,TRUE,1
5,five stars,five stars,TRUE,0
1,defective repeatedly drops connections do not buy this,tested with multiple devices windows android roku connected within very short range all showed the same problem even with a very strong signal the connection will just drop screwing up whatever you might have been trying to use it for this happens with a frequency of every 5 10 minutes or so it's a shame because i kind of liked the design but it's useless,TRUE,1
2,two stars,i bought on february 26 and the scroll no longer work any more,TRUE,1
5,works fine great cable,not really how much you can say about a cable so i will keep this short this is a totaly fine usb micro b cable that i've used to charge my rather ancient kindle that does not have a great battery anymore the cable works without any issues i'm able to plug it in and disoconnet it without any issues and it stays in quite well the cord looks like it's fine quality and should last if not abused and taken care of overall its a nice option if you need a micro usb b cord,FALSE,0
1,one star,naaah spend somewhere else your money,TRUE,0
1,i want my stuff what i order,videoid cd9000fa5219c34613ff6cd125396ef0 i have received my package with nothing inside my ipad case is not in to the package is empty i need my stuff,TRUE,1
2,the stand is very flimsy,the screen does what it is supposed to do however the stand is very flimsy the smallest amount of wind knocks it over even with sand bags,TRUE,1
1,doesn't work with non raspberry pi devices,this thing doesn't seem to work for anything but raspberry pi their 34 drivers 34 are just a single closed source binary that doesn't work anywhere else than raspbian apparently making the claim that it works elsewhere invalid,TRUE,1
1,stopped working after 4 months no support from manufacturer,lights stopped working after 4 months tried to contact humancentric no response don't waste your money buy something from a reputable company that's what i'm doing next,TRUE,1
2,didn t like the actual product,too small,TRUE,0
2,two stars,we haven't even had this bulb for a month and it's already going out,TRUE,0
5,s7 fe,works great this replaced my old samsung tab a and it was worth it i game on pc and have this nearby to look up different things for game play instead of alt tab on pc very fast and great storage space,TRUE,0
1,no stars i cannot get it off,1 it's an ugly color the top and bottom are mismatched br 2 i cannot get the bottom part off anymore it's stuck br 3 the top doesn't adhere and it's mismatched from the bottom part,TRUE,1
3,used was sent,i purchased new and received used i was so upset they did refund me and i was able to purchase again and got a new set the sound on the new set is amazing,TRUE,0
1,beware these are not 16gb x 2 that i ordered and paid for,i ordered and after about 3 weeks of waiting received the white 16gb x2 kits in fact i ordered 2 of these kits br but when i went to install these in my son's new pc his pc only reported 16gb total and not the 32gb total that this kit should be so i tested both kits in taiphoon burner see attached pic these modules turned out to be 8gb modules running at 3000mhz manufactured in 2 20 br br if you have bought the same kit as i did in the last 30 days br crucial ballistix rgb 3600 mhz ddr4 dram desktop gaming memory kit 32gb 16gbx2 cl16 bl2k16g36c16u4wl white br br you should check to make sure you got what you ordered br as for me i am very disappointed that this would happen either on purpose or by accident although 2 kits having the same issue seems suspect br returning these and from now on i will be buying ram elsewhere,TRUE,0
5,works great,makes it easy to use one keyboard and mouse between laptop and desktop,TRUE,0
1,it broke and i only used it once the earbud came off of one of one and i cant use it,i am so disgusted and disappointed with it the earbud came off i cant use it i really need it now i have to send it back i really need a set of earphones and was hoping this set would work properly and i would be good to go,TRUE,1
1,one star,soon after i needed a new laptop,TRUE,0
1,loved it for two months,bottom line this is a piece of crap stopped completely just after two months missed the return window,TRUE,0
2,charges ok but my phone acts weird while plugged in,for some reason when my phone is plugged in with this charger it 'wakes up' constantly showing the charging screen on and off on and off my phone is brand new and does not do it with the charger that came with the phone so i know it's something with this charger,TRUE,0
5,light comfortable earbuds,i fly frequently and these are my go to earbuds for travel they are so light that i don't hardly notice them in my ears the sound is great and the battery lasts a long time these are my new favorites,TRUE,0
3,broke,broke in like 2 weeks but cute and good if you want it go for it but it s not worth it,TRUE,1
1,look for a better brand,i used it twice and the prongs got stuck in the down position couldn t get them to pop back up look for a better brand,TRUE,1
1,i would recommend if you are to hook it up to mono,if you were to use it with earphone or headphone watch out br it weakens one side of your output you would only hear sound from one side br i would recommend if you are to hook it up to mono output,TRUE,1
5,what the he,i'm just writing this because all these reviews mean absolutely nothing br br the majority of them are from people who don't own the item or haven't even touched it br br amazon please go through them and delete delete delete to get a true rating br br enough said,FALSE,0
4,four stars,love that the alexa app allows for drop in calls,TRUE,0
5,five stars,product delivered as advertised thank you,TRUE,0
3,be sure you really want this before you buy it the refund amount is ridiculously small,it was fine didn't feel right on my big head i returned it and got jack squat back on a refund more ticked off at amazon for that than for the item itself,TRUE,0
3,three stars,works,TRUE,0
1,doesnt work,product doesnt work doesnt pick up any dirt and dust at all,TRUE,1
3,a charger that isn't a charger,there's no charger here this is nothing but a cradle with cable that you have add a charger to,TRUE,0
5,finally a usb thumb drive that actually transfers at super fast speeds,works great on both my mac and my pc i actually get real usb 3 speeds with this finally,TRUE,0
1,terrible,do not buy i bought this for my sons home for his own security i have waited 6 months to write this review after all the research on why it does not capture movement or live action i own a ring 1 which is awesome this updated one is cheap and a waste of your money being that it only has a one month return i always suggest it takes about 60 days to learn the product ins and outs what a disappointment don t buy,TRUE,0
2,not all would stick,all stayed on except the right side of the heart just would not stick on,TRUE,0
3,clasps are small for large cords,if it is a longer charging cord it won t fit the clasp,TRUE,0
1,well guess i'm screwed,phone isn't what i was lead to believe sim card reader is broken i've been trying to return this broken phone for almost a month now so i can get a working phone my current phone is going to die at anytime now and i have to have a smart phone for my job so essentially purchasing from this seller has screwed me over big time,TRUE,1
2,read the cloudedge privacy policy before you buy,the developer contact for cloudedge is in the netherlands but if you click on the privacy policy in the play store it takes you to a website in china here is an extract from the privacy policy the software automatically receives and records the information on your mobile phone including but not limited to your health data language used date and time of access software and hardware characteristics information and your needs web records and other data i was going to buy it until i saw this no thank you,FALSE,0
5,item working smoothly nice and quiet,nice and quiet runs great,TRUE,0
1,lasted about 2 weeks,it worked as advertised for about 2 weeks before the speeds dropped to about 20 down and 5 up internet speeds without this are 1000down 40 up,TRUE,0
3,do you need it,i was going to purchase this for some upcoming travel to several different countries until i looked closely at the powerfast charger i already have it says on it that it's dual voltage if so if you already have standard adaptors for your travel there is no need for yet another overpriced powerfast charger,FALSE,0
1,horrible design,i will be returning this case i purchased this to protect my camera and i believe it will but i can't get to the sd card to remove it i would have to unscrew the case from the camera every time i want to download my pictures not a very good design,TRUE,0
1,i bought this item about a month ago used them,i bought this item about a month ago used them for a week started acting up wouldn't turn off and later didn't work at all,TRUE,1
4,great but,i was going to use this fan as an external cooling fan for my drobo the fan finally failed after 2 years i had this overnighted and it came on time great job buy the sellers i opened up the fan plugged in the retractable cable and then plugged it into my usb port and the fan worked awesome now here comes the but part with the fan using the usb as it's power source i had a lot of humming coming from my speakers i plugged the fan into two different ports to see if would stop and it didn't the humming became annoying very quickly i had to return it if i was using this on a laptop i highly doubt the humming would have been noticed but since i was using this on a pc with great speakers it was very noticeable so if you're planning on using this for a laptop i would say go right ahead and buy it but if you're into audio recording or spend all day on your computer don't purchase this again the seller was great and i would buy from them again,TRUE,1
1,doesn t last long,did not last very long after about 8 months it would not hold a charge and would not charge,TRUE,1
1,don't buy,poor quality tried to charge right out of package and the charger did not work unfortunately i waited too long to open them and the return date had expired,FALSE,1
2,would probably work better for someone with larger ear canals,would probably work better for someone with larger ear canals they kept falling out of mine sound was ok but not like apple earbuds,TRUE,0
1,back piece keeps coming off,at first glance this seems like a nice product and great value however the case is not sturdy i did not feel the ipad was tightly secured in the case and the worst part the black plastic circle piece that clips the shell and the outer cover keeps falling out and the two parts keep coming apart it is very cheaply made i would strongly advise against this,TRUE,0
2,two stars,not even 3 months and the trackball stopped working,TRUE,1
2,2 stars for not supporting iphone 3g doesn't work,ok i'm sure this item deserves plenty of stars when it works but it does not work with iphone 3g you must have an iphone 3gs i however am waiting for the iphone 4g so i cannot use this product it is annoying that the description does not clearly warn people about compatibility and it's surprising that i can find no fix there seems to be no app or plug in or anything of the sort to make the sensor work with my phone very disappointed i'd like to add that i have received comments that say you can buy a kit for about an extra 10 to make this work and so i am giving this product 2 stars instead of 1 maybe i am being harsh but i feel like the product should be clearly labeled to say it does not work with iphone 3g even the folks at the apple store were surprised by this,TRUE,1
1,absolute junk,ok so they are only 8 bucks that said these zip ties are absolute garbage from china tried a total of 10 of these things and 9 of them broke and no i wasn t even pulling them tight either the tie itself just broke or the small ratchet piece in the end broke loose whole bag of these are in the garbage where they belong it s a shame any raw material was wasted in making this trash there was a time when companies cared about the product they made regardless of what it was those days are long gone find some of these made in us and pay more you ll get what you pay for,TRUE,1
3,three stars,very cheap screen ok for the price,TRUE,0
4,four stars,good product,TRUE,0
1,hello very nice mecanic but af confirm isn't ok,i like mecanical quality with all metal but af confirm is mistake in the firt time br have you a solution for af confirm br regards and merry christmas br fran ois,TRUE,0
5,love it,i love my case the material feels so good and is easy to use and i totally love the touch of bright green totally recommend it,TRUE,0
2,charger is faulty seller unresponsive,the charger or the cord do not work have to use another phone cord as a substitute and it doesn't charge efficiently i sent a note to the seller the first week i owned it but i got no response,TRUE,1
1,doesn t work,doesn t work does not listen to commands and won t stay connected yes to the everywhere group only clock works to late to return,TRUE,1
4,easily installed in 10 minutes and works perfectly,product was exactly what i needed to connect two pc's a monitor and a sound system easily installed in 10 minutes and works perfectly,TRUE,0
5,five stars,fit perfectly and was reasonably priced,TRUE,0
1,doesn t last long,in less than a year the lock on one of the parts broke and won t hold the camera up,TRUE,1
1,disappointed,not worth the money rather spend more money and get the amazon one,TRUE,0
3,good but not great,i purchased the cm 7778 hoping that it would boost my weaker antenna signals while not over amplifing my stronger signals to some extent it has increased the strength of my weaker signals but not by much i have a outdoor antenna on a 25ft high mast with about 85ft of coaxial cable running from the antenna to the tv set i know my antenna is picking up the signal ok but i experiece a lot of dropped signal loss from the fringe areas with the cm 7778 my signal loss has improved but not as much as i would have hoped i have on order the cm 7777 and i am going to try it and see if it will improve my signal loss i will let you know how that works out in my next review for the cm 7777 preamplifier,TRUE,0
3,no dts support,great nas but really disappointed it does not support dts how can you have a nas designed to be a media server without dts support,TRUE,0
5,un buen producto,muy buen producto y servicio,TRUE,0
5,great range,this replaced a sensor iii while purists will argue i get more channels with less accurate aiming than i ever did with the bat wing and it does not need cranked up and down i even installed it without getting on the camper roof i could reach the 24 or so to the mounting location from a ladder very happy,TRUE,0
1,no way to root this device,this device cannot be rooted if you seek to install linux or the like you cannot,TRUE,0
3,good quality but could last longer gold doesn t work with iphone 6s,great earphones sound profile is flat and they look great i bought two silver black versions and used them with my iphone 6s for 6 mo and 1 year respectively br both failures were that one earphone stopped working due to the cable fretting if the plastic sheath and cable to jack connections were stronger they would ve lasted much longer br the metal earbuds would hit and scratch each other becoming noticeable after a few months to solve that i tied a loop on one earbud to make it shorter br major problem with the gold version the volume and center button controls do not work with the iphone 6s i tried two copies and my brother had the same issue with his own pair very disappointing otherwise great stuff,TRUE,1
1,the second protector would remove pretty much the whole screen protector,got this for my galaxy tab e i haven't had an issue with getting screen protectors in the past but this was difficult the screen protectors come sandwiched between two more protectors that must be removed during application the second protector would remove pretty much the whole screen protector the glass cleaning rag they give ends up leaving more debris than cleaning out of the 3 that came with the pack 0 sticked without debris or tearing a protector tab not a good use of 6,TRUE,0
2,hopefully you don t need to change batteries,cameras are decent quality but god forbid you have to change the batteries to do so you need to take the camera off the frame frame that attaches the camera to the wall the camera is easy to get off but my god is it a fight to get it back on this is the worst part of the camera because you practically have to push so hard you break the camera for it to click into place i ended up pushing the camera through the drywall and it still wasn t clicked back into place please for the love of god get an engineer to design a new frame that fixes this issue,TRUE,0
5,definitely as good and maybe better than the oem,this product exceeded my expectations small and light and very easy to take on the shoot as good or better than the oem it was also great price,TRUE,0
4,straps are perfect perfect size fits well,it works great search is purpose,TRUE,0
2,bellybomb,have not had product for a long time the computer i used it on has long since been gone as i recall the item worked all right,TRUE,0
2,coby dp 102 10inch widescreen digital photo frame,i could not put the digital photo frame together tried to connect it all i could see was the pre installed pictures i br inserted my own photo card but nothing happended got discouraged and just let it sit could ot even fit it back br into the boxes i am very disapointed and will not buy electronics via mail again,TRUE,0
2,reasonably clear sound expected more,needed a 6 inch dvs speaker for a jeep put it in not preforming as i expected br it was ok,TRUE,0
5,really good and safe,really good br kids proof and elderly last almost 2 years now i need a new one because the screen is all with scratches,TRUE,1
1,lip broken off,too lightweight flimsy,TRUE,1
1,broke,great headset but it broke easily,TRUE,1
1,no for 2001 4 runner,does not fit 01 4 runner,FALSE,1
5,five stars,on my second roku for the second tv it doesn't get much easier than this,TRUE,0
5,surge protector,installed one on my cable modem and one on my xfinity x1 box receive all channels br as before and my normal speed thru the cable modem 350mb i br dont understand about the other reviewers saying they lose channels br super simple install screw into the input then the cable screws into it br it lists a 1 amp pass thru limit so i assume its basically a fuse br best to get a surge protector to protect 120 volt into the equiptment for full protection,TRUE,0
2,doesn t fit well,the base does not fit snugly onto the bottom of the computer when one side is clipped in the other side popped off the base isn t useable the top cover is pretty,TRUE,1
1,and i should have known better it fell apart after a few minutes use,it was 5 bucks and i should have known better it fell apart after a few minutes use,TRUE,0
1,range is not 300 ft not even 25 ft,false information on range distant it does not go 25ft and it say it goes 300ft false advertisement,TRUE,0
1,does not work,product did not work gears were messed up and cassete was cracked,TRUE,1
5,great sound super concept,i'm able to tie multiple devices including computers tablets and bluetooth headsets into mixer tied to amplifier very convenient for sound routing,TRUE,0
1,not very long,not as long as advertised,TRUE,0
1,tried twice returned both,purchased a set of these headphones but couldn't get the battery cover off exchanged it for another pair the toslink input didn't work on the second set returned that one wouldn't buy these again,TRUE,1
1,didn't come with charger,didnt recieve the charger,TRUE,0
3,expected better,the speaker is nice and small very neat design however i have had smaller speakers with more power more bass bought because there was no flashing light and the name good for it looks like a showcase husband but nothing else unless you want the sound of a small mouse also it didn't last long played for a day and a half and let me be clear it was a consistent playing,TRUE,0
1,could not get it to work,could not get it to work too hard of instructions maybe if i had mechanical degree,TRUE,0
1,na,looks better in the picture,TRUE,0
5,nice set of headphones,great sound quality would recommend these to anyone that may be on a budget inexpensive lightweight controls are convenient only issue i had was connecting the base to the tv finally figured out my tv had a headphone jack and didn't need the average cable duh,TRUE,0
1,product review,not a good product,TRUE,0
4,almost there slight design flaw,this works good however just slightly small for an iphone 8plus because the clock display is partially blocked when the phone is charging,TRUE,0
2,disappointed,i was excited when it came in the mail because it does look like a high quality product but when i installed it the reception for the radio was poor i ended up putting back on the original antenna i ll be sending this product back,TRUE,0
5,easy to set up and use,i love the cord length and it is easy to set the cable type cord in nail pens to keep it secured to wall or floor,TRUE,0
1,jam,the cartage is too thick the black cover was jammed,TRUE,1
2,dont buy,works great but the only stays charge for about an hour not really wireless because the adapter has to stay connected to a charger,TRUE,0
1,cpr call blocker,this 34 thing 34 has calls coming from all over the world it is like spy wear has invaded my phone save your money byer beware don't buy this product,TRUE,0
2,quit working after 6 months,the mouse worked for about 5 months then moving it would bring my chromebook out of sleep but not move the cursor i changed batteries and power the mouse and device up and down if i played with it i could get it to work but the same process was needed each time i sat at my computer,FALSE,1
1,broken,one of them arrived broken,TRUE,1
5,great bluetooth speaker,love it if you are looking for the best bluetooth speaker buy it,TRUE,0
1,i urge you not to purchase ever,i m actually quite bummed about this product and this review i was really into the simple design of the cameras and being intrusive in my home br br after about a year the systems started having several glitches it just kept going offline i did all the trouble shooting with support who were to their benefit mostly helpful but we weren t able to resolve my issue br br the system kept saying it was offline when it showed online and arlo support themselves showed it online yet it wouldn t activate the cameras i know check the batteries rest the system resync the cameras i did it all multiple times all in all i ve likely wasted 20 hours with support and doing all the technical follow ups br br to their credit they gave me a new base station with began to fail with in the week it s almost laughable at this point but here i am pouring more energy in to a water product by writing this review br br after all the trouble shooting and they acknowledge that sometimes the system is just like that and there isn t much they can do other than suggest i just buy a new system from them dude i don t have another 400 to waste on this product i mean br br amazon was gracious enough to accept this return back from me well after the one year warranty which is most excellent br br i suggest simply staying away from this product it looks cool works well for a moment but over all is non functional and as someone mentioned in an earlier review if i had time to stay home and monitor my cameras and reset them every other day then you know i d not really need the cameras br br please i urge you don t buy this product,TRUE,0
3,careful,the item pictured is a great item i have bought repeatedly this time i received a different item i think this picture does not belong with this item listing believe only the 90w version is this compact returned this got replacement direct from hp,TRUE,0
1,defectuoso,videoid 7ee141a07a9a316d282a3e6d8accf7e6 vino da ado,TRUE,1
1,great sound painful earpieces passive nc a joke,the sound is nice but you do hear every little tap or twist to the cord this is the second set i've gotten the first arrived smelling of mildew with the staples in the instruction booklets rusted to literal dust br br after 10 minutes the earpieces hurt my ears terribly last time i ever consider on ear headphones br br and 34 passive 34 noise cancellation is a joke you get more passive noise cancellation by covering your ears with your hands,FALSE,0
3,easy to damage it,the wireless adaptor is way to big easy to damage it and the battery doesnt las long max 3h,TRUE,0
5,quality antistatic bags,these fit the bill just fine nice size and seal up great being able to buy a smaller quantity is great as i don't need a lot of them,TRUE,0
1,do not buy these they are not stable,i bought two of these to extend my house lan to a detached garage set them up and initially they worked then they stopped working now just trying to use one had to reset it up from scratch twice and now it's not working again do not buy these they are worthless of course my return window is now closed i will never buy another tp link product,TRUE,1
5,good products,works great for me,TRUE,0
5,great camcorder and lots of accessories,the camera works great i haven't used all the accessories yet i appreciate the kit having a high quality hd 64 gig sd card,TRUE,0
1,too slippery case cracked on first drop,for the price you'd think apple could make a more durable case the plastic is way too rigid a corner of the case cracked on the first drop and it is ridiculously slippery i hate to have to use a case because i actually like the way the phone work but i drop my phones a lot i always have thankfully the phones have always survived the cases not so much this is the worst case i have ever had for an iphone in the past 12 years,FALSE,1
1,gpu died 10 days after return policy voided,one month into trying to mine with this thing and it started just fine all the other brand 580s i got on the rig are fine but this one is now useless all im getting is static if this is the only one on the rig i leave to mine tried updating the drivers and just completely crashed this gpu and only 10 days after my return policy has been voided really won't buy this again but ill definitely be bacc to amazon to find more gpus real soon,TRUE,1
2,hl10 device does not work with all phones and it is hard to find out which phones are compatible,i like this device and had one before however it is really difficult to determine which phone is compatible with the hl10 lifter device br the plantronics people are somewhat they do not provide a list of compatible phones unless you ask a manager so it is very hard to go shopping for a phone once you have the hl10 lifter br they do not respond to questions at their web site very quickly br the website is not so functional either it is slow and the tool to select the equipment is not so good,FALSE,0
1,one star,this product does not work as it makes a loud noise for the listener,TRUE,1
3,great for entertainment not so great for phone calls,i have used this for a few days after i received this br br pros music with bass is great long lasting battery that lasts me all day and into evening i can leave the phone on charging cradle and i can listen audio all over my home a nice big surprise br br cons when i try to make a phone call and the other party answers the receiving sound volume has greatly diminshed i checked to make sure the volume is maxed and it was i can not use this ear phone for phone conversations too quiet br br i will use this ear phone for entertainment to listening music or watch movies not a total loss,TRUE,0
1,one star,many channels are hard to get and the ones you do get are not clear,TRUE,0
1,it just won t go on correctly,let me start by saying i am an ocd doctor who everyone comes to to put on screen protectors i can do it perfectly i attach tape drop it dow never lint perfect look at this perfectly aligned was done first time never lifted up evenly centered and one corner not going down this is also my second box and the last one 2 corners stuck up this corner appeared to stick up when i took it from the box i guess i have one left and will try it before i return them all it is a real pain this just doesn t work well,TRUE,1
1,do not waste your money,it did not work at all another waste of money do not buy it,TRUE,1
3,incompatible with mac 10 6 10 7,i almost bought this but fortunately did a little more looking around and discovered unhappy mac users commenting on the nikon site if you look up the system requirements this product only works with mac os versions 10 5 8 and earlier making it years out of date i gave it 3 stars because it may very well work fine on an old machine,FALSE,1
2,god help you when they break,update to earlier review br after some fairly hard traveling the wires to the mini jack got loose causing one channel to drop out occasionally i called to get a repair and was told that without my purchase receipt i was totally out of luck i was not asking for warranty just a repair that i would pay for i guess i can find someone to make a kludgy repair but to me this is just appalling customer service especially for a produce this expensive back to etymotic for me br br review made just after purchase br the sound quality of these is very good better bass and presence than the etymotic er 6 but maybe not as much clarity however before you buy these make sure you try a pair i found to my disgust that there is no easy way to have custom earmolds made and these are very uncomfortable for me they come with several eartips and none is even remotely close to the comfort of custom molds for this much money that is a drag,TRUE,1
4,good bracket,was happy with the bracket the only thing wrong with it was its weight apart from that it works like a dream,TRUE,0
1,one star,it wasnt resistant,TRUE,0
2,not recommended,worked fine for two months then broke i'm dealing directly with cyber accoustics for the warranty but they're being difficult and rude not worth the 40 if it's not going to even last a year,TRUE,1
1,terrible sound,by far the worst ear buds i have ever heard and i have had many,TRUE,0
1,not ready yet,this product isn't ready yet the wifi range on each luma is a joke and with all three connected it could not compete with one netgear knighthawk plus range extender i have it was also incredibly slow br br i'm going to try the ubiquity ap that everybody raves about,TRUE,0
4,near perfect backpack,after hours and hours of hunting on amazon for the right backpack i finally chose this one it was between this and one other smaller option the smaller of the two would not have held my 15 laptop not with the protective padding anyways plus camera equipment and so this bag won i must say i'm not regretting the purchase my only quip is the flimsy dividers that you velcro into the compartment for the camera by the end of a day long trek around town the dividers had come loose and my camera was imposing on its neighbor lens still the padded dividers kept the equipment separated for the most part as i moved about and everything remained in one piece at the end of the day so i can't complain too much i have yet to use the bag to its fullest capacity that is with a laptop plus my camera equipment i fear for my back with that load but i have no doubt it will hold it all this backpack has crazy amounts of storage compartments and even hidden zipper compartments that let you pull out extra storage pouches i love that the bag is nondescript and resembles an army bag i feel this will be less of a target to potential sticky fingers the bag closes at the top with a pull string it doesn't sound all too safe but then the top compartment flops over it and buttons down for extra security it's a little bit of a hassle pulling things out while moving but it is doable my only concern is whether or not this bag will pass as a carry on when i go traveling by air in a few days the dimensions make it out to be just a tad smaller than the size max but when it's full this thing is bound to get huge and heavy,TRUE,1
2,needs new tabs,very easy to assemble and nice lighting but the tabs that are sopuso hold up the background do not stay in place and causes background to continue to fall,TRUE,0
1,waste of money they do not work,they do not work complete waste of money br they are in perfect shape just will not charge anything horrible,TRUE,0
1,junk spend extra for a better pair of headphones,the battery gets worse every time you use them and they pause your music randomly the sound quality is okay but the junk battery and frequent pausing make them worthless,TRUE,0
5,works like a charm,wow i was skeptical of this product based on some of the reviews and how these extenders supposedly work i am glad i was disappointed with my skepticism this thing rocks i have an older netgear router that has to remain placed on one end of my ranch style home so the devices i have at the other end of the house and in the finished areas of my basement got no or lousy signal i placed this device in my kitchen a little over mid way in the house and now every device in the house is getting bathed in a strong signal both the 2 5g and 5g bands connected with no issue and work wonderfully unboxing the thing took longer than the setup can't get any easier than that and i am totally impressed so far way to go netgear,TRUE,0
3,great sounding speaker,i really like how loud the speaker can get also in my work environment you can hear it very clearly nice crisp highs and the lows are clean for a speaker its size but the only issue i have is the refurbished unite i received does have a battery that's garbage it will hold a charge for half an hour to an hour at low volume but plugged in in the wall the speaker is superb i'm looking into a better battery pack tho so i'm only rating this a 3 star since the battery has to be replaced so more money i have to spend,TRUE,0
1,they don t stick,walk away from this one they don t stick which is just about their only responsibility junk,TRUE,0
3,i want good sound on both ends,my phone keeps freezing up where i have to do a hard boot on my iphone also i cannot hear the person talking to me very good other then that its a nice little camera,TRUE,0
5,it s a good purchase,easy set up great video,TRUE,0
1,always double click,it works well in the beginning but then always double click when only click once not sure if there is a way to fix it but this did cause many troubles with my working pc,TRUE,0
5,it is exactly like pictured,good quality,TRUE,0
5,best non apple router i have used,i have installed wireless routers for home and work a number of times in the past few years i have standardized on using apple routers as they are simple and seem to be more reliable however they are expensive br br i decided to give the almond a try and was very impressed it is less expensive than the apple routers i have been using and was very easy to set up it does not show up on the airport express manager on my ipad which is a disadvantage br br i have only been using it for a short time but everything seems to connect well the little stylus makes using the small screen easy i love not having to first connect it to a computer apple's does not require this either br br so my recommendation is that if you are looking for your first router this is the way to go if you have an apple router and are looking to extend it i would add another apple router so you can manage your network via your ipad or iphone br br again if you are needing a first router this is by far the easiest one i have used and the price is reasonable,TRUE,0
2,didn't last very long,if you're looking for a short term use this item is perfect you get what you pay for,FALSE,0
1,didn't work the greatest,used in lower level of house worked okay but not great then it quit working and it was past the return date,TRUE,1
1,one star,did not fit my 02 4runner,TRUE,1
1,could not get it to work,instructions were very unhelpful for a person with limited technical skill did not try technical service because would not have understood the directions,TRUE,0
1,even though i matched the model it didnt fit,i just received this case and lo and behold i think they sent me the wrong one i m very confused the packaging said to match up the model number which i did and the case model matches up as well i was pleased with the case it looked very cute but man it just didn t fit at all and just wasted my time very disappointed,TRUE,0
3,folding joints are too fragile,these function well but unfortunately they are fragile after a month and a half i pulled them onto my head as usual no over extension and they broke the folding mechanism at the ears is too fragile for my liking i'd recommend sturdier headphones,TRUE,1
